博主画像,费用单篇开始 (usd),博主,粉丝总量,已洽谈,是否合作,是否发布,合作平台,tips,Comment
过往AI艺术家,300,https://www.instagram.com/glitter_shooting/  重点拉回来,136000,YES,Hope yes,pending,"TIktok, ins",过往历史成功转化,
Ai圈核心艺术家,749,https://www.instagram.com/adam.godigital/,12000000,YES,NO,pending,,工具类ai博主,
Agency,,网易Agency  找找koc吧,,YES,NO,Draft,,周三对，主要成本有问题，画像都挺不错,
Agency,,Growmax,,Not yet,NO,Draft,,主要还是博主画像，我觉得不太合适,
Agency,,"Partnerly (AI出海营销机构)
http://oncely.com/ (AI应用GTM平台)",,Not yet,NO,Draft,,暂时意愿不高,
Ai圈核心艺术家,300,https://x.com/machinedelusion?s=21,10000,Not yet,NO,Draft,,Comfy圈内持续性影响人物,
"Ai圈核心艺术家, 其他企业品牌大使",500,https://x.com/purzbeats?s=21,156000,Not yet,NO,Draft,,,
国际学生KOL,200,https://www.instagram.com/aamadigi/,5000,YES,No longer,Posted,"Linkin, ins",复旦大学意大利人，国际学生,不予后续考虑
生活博主,,https://www.instagram.com/huynguyenaus/https://www.instagram.com/americainthegizo?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,121000,Not yet,,Draft,ins,,
生活博主,,https://www.instagram.com/huynguyenaus/https://www.instagram.com/ugc_zeynep?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,125000,Not yet,,Draft,"TIktok, ins",,
生活博主,,https://www.instagram.com/huynguyenaus/https://www.instagram.com/glamour_girlz_usa?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,306000,Not yet,,Draft,ins,,
,,,,,,Draft,,,
时尚博主,,https://www.instagram.com/huynguyenaus/https://www.instagram.com/apoorva_sharma1?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,453000,Not yet,,Draft,ins,,
国际学生KOL,350,https://www.instagram.com/bumblephii/,144000,Not yet,,Draft,,UK大学,
国际学生KOL,400,https://www.instagram.com/nihilisticfae/,106000,Not yet,,Draft,,UK大学,
国际学生KOL,200," https://www.instagram.com/inspiredbylex/",215000,Not yet,,Draft,,哈佛,
国际学生KOL,200,https://www.instagram.com/huynguyenaus/https://www.instagram.com/huynguyenaus/,38000,Not yet,,Draft,,剑桥,
"Ai圈核心艺术家, 过往AI艺术家",400," https://www.instagram.com/spicyflowerhands/",242000,Not yet,,Draft,,,
